date,team,name,status
1990-01-02, Cavaliers, • Wayne Rollins / Tree Rollins, placed on IL with sprained left knee
1990-01-02, Cavaliers, • John Morton, activated from IL
1990-01-02, Magic, • Jerry Reynolds (a), placed on IL
1990-01-02, Magic, • Morlon Wiley, activated from IL
1990-01-04, Hawks, • Cliff Levingston, placed on IL
1990-01-06, Celtics, • John Bagley, activated from IL
1990-01-06, Hawks, • John Battle, placed on IL
1990-01-10, 76ers, • Kenny Payne, placed on IL with shin splints
1990-01-10, Cavaliers, • Winston Bennett, placed on IL with sore left thigh
1990-01-13, Cavaliers, • Wayne Rollins / Tree Rollins, activated from IL
1990-01-13, Kings, • Ralph Sampson, activated from IL
1990-01-17, Clippers, • Ron Harper, placed on IL with torn ACL in knee
1990-01-17, Clippers, • Jay Edwards, activated from IL
1990-01-22, 76ers, • Kenny Payne, activated from IL
1990-01-22, 76ers, • Lanard Copeland, activated from IL
1990-01-26, Pacers, • Calvin Natt, placed on IL
1990-01-26, Pacers, • Rickey Green, activated from IL
1990-01-30, Cavaliers, • Paul Mokeski, placed on IL
1990-01-30, Cavaliers, • Brad Daugherty, activated from IL
1990-02-02, Sonics, • Sedale Threatt, placed on IL
1990-02-04, Bucks, • Tito Horford, placed on IL
1990-02-04, Bucks, • Ben Coleman, activated from IL
1990-02-16, Timberwolves, • Steve Johnson, activated from IL
1990-02-22, Hornets, • Michael Holton, activated
1990-02-22, Magic, • Otis Smith, placed on IL
1990-02-23, Kings, • Michael Jackson, placed on IL
1990-02-23, Kings, • Pervis Ellison, activated from IL
1990-02-26, Rockets, • Byron Dinkins, placed on IL
1990-02-27, Bucks, • Ben Coleman, placed on IL
1990-03-05, Rockets, • Tim McCormick, activated from IL
1990-03-06, Hawks, • Jon Koncak, activated from IL
1990-03-09, Sonics, • Quintin Dailey, placed on IL
1990-03-09, Sonics, • Dale Ellis, activated from IL
1990-03-11, Knicks, • Kenny Walker, placed on IL
1990-03-11, Knicks, • Kiki Vandeweghe, activated from IL
1990-03-16, Bucks, • Jack Sikma, placed on IL
1990-03-16, Bucks, • Larry Krystkowiak, activated from IL
1990-03-16, Hawks, • Glenn Rivers / Doc Rivers, activated from IL
1990-03-20, Knicks, • Greg Butler, placed on IL
1990-03-20, Knicks, • Kenny Walker, activated from IL
1990-03-25, Bulls, • Craig Hodges, placed on IL with lower back strain
1990-04-06, Suns, • Dan Majerle, activated from IL
1990-04-08, Mavericks, • Brad Davis, placed on IL
1990-04-14, Bulls, • Craig Hodges, activated from IL
1990-04-14, Hornets, • Brian Rowsom, placed on IL
1990-04-18, Mavericks, • Brad Davis, activated from IL
1990-04-19, Bucks, • Ricky Pierce, placed on IL
1990-04-19, Bucks, • Tony Brown, activated from IL
1990-04-21, Pacers, • Dyron Nix, placed on IL
1990-04-21, Pacers, • Calvin Natt, activated from IL
1990-04-23, Knicks, • Greg Butler," ""deactivated"""
1990-04-23, Knicks, • Charles Oakley, activated from IL
1990-10-30, Nets, • Roy Hinson, placed on IL
1990-10-30, Suns, • Andrew Lang, placed on IL
1990-10-30, Suns, • Negele Knight, placed on IL
1990-10-30, Suns, • Ricky Blanton, placed on IL
1990-10-31, Kings, • Anthony Bonner, placed on IL with stress fracture in left foot
1990-10-31, Nuggets, • Stephen Thompson / Stevie Thompson, placed on IL
1990-10-31, Warriors, • Bart Kofoed, placed on IL
